"","last_name, first_name","position","league","year","age","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","in_zone_percent","swing_percent","linedrives_percent","sprint_speed","double","triple","home_run"
"1","De La Cruz, Bryan","RF","NL",2023,26,0.273,0.445,0.309,0.331,0.321,0.172,89.9,11.8,8.8,42.5,68.2,34.3,46.4,50.1,29.4,27.7,32,0,19
"2","Wade Jr., LaMonte","1B","NL",2023,29,0.265,0.454,0.347,0.363,0.38,0.189,88.4,17.4,9.1,39.8,62,17.9,49,39.5,23.7,26,14,2,17
"3","Rosario, Eddie","LF","NL",2023,31,0.254,0.436,0.322,0.317,0.304,0.181,88.6,14.5,9.5,35.4,73.6,43.5,46.1,57.4,25.6,27.9,24,3,21
"4","Correa, Carlos","SS","AL",2023,28,0.253,0.421,0.309,0.33,0.335,0.168,90.4,10.6,9.6,45.9,62.1,26.7,47.6,43.6,24.9,26.6,29,2,18
"5","McMahon, Ryan","3B","NL",2023,28,0.245,0.445,0.325,0.335,0.328,0.201,90.8,9.7,11.4,44.2,67.6,25.4,52.1,47.4,26.1,25.9,31,3,23
"6","Hays, Austin","LF","AL",2023,27,0.242,0.42,0.33,0.309,0.296,0.178,89.4,10.4,8.9,40.1,63.8,30.9,47.5,46.6,20.3,27.5,36,2,16
"7","Edman, Tommy","SS","NL",2023,28,0.262,0.39,0.306,0.312,0.321,0.128,89.1,7.5,5,38.8,61.9,28.6,51.1,45.7,20.1,28.8,25,4,13
"8","Schwarber, Kyle","DH","NL",2023,30,0.22,0.485,0.35,0.364,0.362,0.266,92.4,19,16.4,48.8,55.8,21.6,47,37.7,20.1,25,19,1,47
"9","Stephenson, Tyler","C","NL",2023,26,0.243,0.397,0.305,0.314,0.318,0.154,89.4,8.9,7.6,43.5,61.8,24.1,49,42.5,24.5,26.9,20,2,13
"10","Contreras, William","C","NL",2023,25,0.255,0.433,0.357,0.335,0.338,0.179,91.3,4.7,9.4,48.7,62.6,24.7,48.7,43.2,19.9,26.5,38,1,17
"11","Guerrero Jr., Vladimir","1B","AL",2023,24,0.295,0.498,0.34,0.375,0.374,0.204,92.1,10.5,11.1,49.2,74.2,28.8,47.9,50.6,26.1,26.4,30,0,26
"12","Perez, Salvador","DH","AL",2023,33,0.266,0.46,0.302,0.325,0.306,0.194,90.1,15.6,8.8,44,77.5,47,43.2,60.2,26.3,24.2,21,0,23
"13","Abreu, Jose","DH","AL",2023,36,0.248,0.409,0.295,0.314,0.311,0.161,89,10.8,8.7,41.6,65.2,36.3,47.9,50.1,26,25.5,23,1,18
"14","Estrada, Thairo","2B","NL",2023,27,0.248,0.371,0.316,0.292,0.296,0.123,85.9,10.8,4.8,33.7,67.3,38,46.8,51.7,25.5,28,26,2,14
"15","Bregman, Alex","3B","AL",2023,29,0.266,0.43,0.351,0.351,0.368,0.163,88.6,17.6,5.4,38.2,61.1,18.6,47.3,38.7,25,26.3,28,4,25
"16","Diaz, Yandy","1B","AL",2023,31,0.305,0.487,0.402,0.383,0.391,0.182,93.4,5.7,9.5,54,65.5,19.7,49.9,42.6,23.8,26.6,35,0,22
"17","Gurriel Jr., Lourdes","LF","NL",2023,29,0.264,0.439,0.329,0.324,0.313,0.175,89.7,10.6,8.4,46,67.5,30.3,50.4,49.1,26.7,27.1,35,2,24
"18","Arraez, Luis","1B","NL",2023,26,0.329,0.458,0.369,0.354,0.371,0.129,88.3,11.5,3.5,25.7,68.6,31.8,52.2,51,31.3,26.1,30,3,10
"19","Muncy, Max","2B","NL",2023,32,0.235,0.504,0.344,0.364,0.353,0.269,91.2,21.7,14.6,46.6,57.2,23.5,46.7,39.3,18.5,26.9,17,1,36
"20","Betts, Mookie","RF","NL",2023,30,0.294,0.563,0.416,0.407,0.399,0.268,92.4,20.6,12.4,48.5,60.3,16.6,49.1,38.1,29.3,27.2,40,1,39
"21","Rutschman, Adley","C","AL",2023,25,0.292,0.469,0.352,0.373,0.389,0.177,88.4,12.6,7.5,38.6,60.7,23.4,47.3,41,26.4,27,31,1,20
"22","Cronenworth, Jake","1B","NL",2023,29,0.238,0.37,0.301,0.305,0.321,0.131,87.4,15.2,4.4,33.2,67.1,26.4,52.1,47.6,26.2,28.3,24,7,10
"23","Torres, Gleyber","2B","AL",2023,26,0.282,0.478,0.346,0.362,0.357,0.196,89.7,15.1,7.9,40.3,68.9,25.9,48.5,46.8,24.8,26.4,28,2,25
"24","Pena, Jeremy","SS","AL",2023,25,0.259,0.37,0.31,0.305,0.321,0.11,88,5.5,4,35.8,73.2,35.9,46.4,53.2,22.9,29.4,32,3,10
"25","Turner, Justin","DH","AL",2023,38,0.26,0.444,0.346,0.336,0.331,0.184,89.5,16.5,5.7,39,63.5,25.7,50.8,45,25.1,25.1,31,0,23
"26","Harris II, Michael","CF","NL",2023,22,0.304,0.49,0.345,0.357,0.342,0.186,90.9,7.6,10,48.5,68.2,38.1,49.3,52.9,28.2,28.8,33,3,18
"27","Vierling, Matt","CF","AL",2023,26,0.266,0.396,0.315,0.322,0.335,0.13,89.1,9.1,4.6,42.8,59.1,28.5,51.5,44.3,23.8,29.1,21,5,10
"28","Ohtani, Shohei","DH","AL",2023,28,0.294,0.635,0.433,0.426,0.406,0.341,94.4,13.2,19.6,54.2,70.5,29.7,45.4,48.2,22.7,27.8,26,8,44
"29","Raleigh, Cal","C","AL",2023,26,0.233,0.466,0.326,0.33,0.307,0.233,89.5,20.3,12.6,41,70.9,31.4,46.3,49.7,22.2,27,23,1,30
"30","Crawford, J.P.","SS","AL",2023,28,0.26,0.384,0.359,0.34,0.375,0.124,88.3,15.1,4.8,36.2,58.4,18.6,50.2,38.6,28,26.7,35,0,19
"31","Steer, Spencer","1B","NL",2023,25,0.252,0.417,0.355,0.333,0.341,0.165,88.7,15.3,6.7,37.1,63.1,23.9,50.7,43.8,24.6,28.4,37,3,23
"32","Soler, Jorge","DH","NL",2023,31,0.262,0.532,0.361,0.374,0.354,0.27,91.3,17.8,15,48,66.7,25.6,45.1,44.1,24,26.6,24,0,36
"33","Gimenez, Andres","2B","AL",2023,24,0.245,0.367,0.309,0.297,0.309,0.122,84.8,13.1,5.5,27,71,40,46.9,54.6,21.9,29.2,27,5,15
"34","Vaughn, Andrew","1B","AL",2023,25,0.252,0.427,0.321,0.319,0.309,0.176,90.6,11.2,8.4,46.5,64.8,31.7,47.7,47.5,24.4,25.5,30,2,21
"35","Hoerner, Nico","2B","NL",2023,26,0.272,0.355,0.322,0.31,0.338,0.083,86.6,10.5,1.8,33.4,60.5,30.5,50.5,45.6,25.5,28.5,27,4,9
"36","Acuna Jr., Ronald","RF","NL",2023,25,0.357,0.66,0.428,0.46,0.435,0.303,94.7,7.4,15.3,55.2,70.7,22.6,49,46.2,26.2,28,35,4,41
"37","Nimmo, Brandon","CF","NL",2023,30,0.265,0.458,0.359,0.355,0.357,0.193,91.8,12.2,9.5,47.9,62.3,19.9,52.9,42.4,25.5,28,30,6,24
"38","Tatis Jr., Fernando","RF","NL",2023,24,0.281,0.508,0.332,0.364,0.344,0.227,91.9,11,11,49.3,78.7,32.3,47,54.1,21.2,29.3,33,1,25
"39","Chapman, Matt","3B","AL",2023,30,0.23,0.457,0.328,0.337,0.323,0.228,93.4,18.5,17.1,56.4,66.6,18.9,51.2,43.3,23.1,28.5,39,2,17
"40","Tucker, Kyle","RF","AL",2023,26,0.292,0.53,0.372,0.386,0.38,0.239,90.2,14.8,10.6,45.9,71.8,21.6,50.6,47,24.2,26.6,37,5,29
"41","Kwan, Steven","LF","AL",2023,25,0.282,0.358,0.313,0.317,0.353,0.076,86,10.7,1.1,18.8,59,21.3,52.7,41.2,28.8,28.1,36,7,5
"42","India, Jonathan","2B","NL",2023,26,0.252,0.424,0.327,0.339,0.348,0.172,89.5,15.2,7.7,38.6,56.9,19.6,50.8,38.6,24.7,27.8,23,0,17
"43","Renfroe, Hunter","RF","AL",2023,31,0.225,0.366,0.308,0.289,0.291,0.141,88.3,15,6.1,39.1,70.6,33.5,47,50.8,21.8,26.8,31,0,20
"44","Garcia, Adolis","RF","AL",2023,30,0.25,0.526,0.354,0.366,0.334,0.276,92.1,15.7,16.1,49.7,71.5,29.3,45.7,48.6,20.5,27.3,29,0,39
"45","Bellinger, Cody","CF","NL",2023,27,0.268,0.434,0.37,0.327,0.326,0.165,87.9,17.2,6.1,31.4,67.8,31,51.3,49.9,26.4,28.3,29,1,26
"46","Burger, Jake","3B","NL",2023,27,0.27,0.512,0.349,0.359,0.329,0.242,91.9,12.3,16.7,49.6,70.8,38.5,48.1,54,25.1,28,28,1,34
